Name,Price,Rating,Reviews,Category,Region,Type,ABV,IBU,Tasting_Notes,Food_Pairing,Suggested_Glassware,Suggested_Serving_Temperature (F),Calories Per Serving (12 Oz),Carbs Per Serving (12 Oz),Features
J.K.'s Scrumpy Farmhouse Organic Hard Cider,14.72,5.0,1.0,Cider,United States,Craft,6.0,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,"Organic, Gluten Reduced"
Colbitzer Pilsner,5.49,4.5,1.0,Pilsner,Germany,Craft,4.9,35.0,No special notesbeer_updated,Unknown,Pilsner Glass,45.0,130.0,8.0,None
Oskar Blues Can-O-Bliss Tropical IPA,19.99,4.6,6.0,IPA,United States,Craft,7.4,68.0,No special notesbeer_updated,Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
Sauza Agua Fuerte Mango,10.44,5.0,1.0,Hard Seltzer,Mexico,Craft,5.0,35.0,No special notesbeer_updated,Unknown,Pint Glass,45.0,115.0,1.0,None
Crazy Uncle Hard Root Beer For Grown Ups,4.39,5.0,3.0,Hard Soda,Canada,Craft,5.0,35.0,No special notesbeer_updated,Unknown,Pint Glass,55.0,130.0,8.0,None
Second Line Brewing Saison Named Desire,10.99,4.7,2.0,Saison / Farmhouse Ale,United States,Craft,5.6,35.0,No special notesbeer_updated,Unknown,Snifter/Goblet/Chalice,50.0,130.0,8.0,None
Lawson's Finest Liquids Hopzilla Double IPA,17.79,4.9,1.0,Imperial / Double IPA,United States,Craft,8.7,35.0,No special notesbeer_updated,Unknown,Snifter/Goblet/Chalice,55.0,130.0,8.0,None
Big Top Hawaiian Lion Coconut Coffee Porter,11.98,4.9,4.0,Porter,United States,Craft,7.5,35.0,"Coconut, Coffee",Unknown,"Pint Glass, Stein/Pub Mug",50.0,130.0,8.0,None
Keybilly Island Ale,10.49,5.0,1.0,Fruit Beer,United States,Craft,5.4,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",49.0,130.0,8.0,None
Medford Brewing American Pale Ale,13.49,4.5,1.0,American Pale Ale,United States,Craft,6.0,35.0,No special notesbeer_updated,Unknown,Pint Glass,50.0,130.0,8.0,None
Lost Nation Mosaic IPA,12.99,3.5,2.0,IPA,United States,Craft,5.5,65.0,No special notesbeer_updated,Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
Bold Rock Premium Dry Cider,10.99,4.8,1.0,Cider,United States,Craft,6.0,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,Gluten Reduced
Alley Kat Aprikat Apricot Ale,17.43,5.0,2.0,Wheat Ale,Canada,Independent Craft Brewer,5.0,12.0,"Apricot, Balanced, Crisp, Flavored, Stone Fruit","Cheese - Fresh & Soft, Chicken",Pint Glass,50.0,130.0,8.0,None
Nine Pin Ginger Cider,14.0,5.0,1.0,Cider,United States,Craft,6.7,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,Gluten Reduced
Summit Peach Hard Cider,11.99,4.0,1.0,Cider,United States,Craft,6.5,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
Hollywood Brewing Co. Mango IPA,10.99,3.5,1.0,IPA,United States,Craft,6.2,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
Troegs Nimble Giant Double IPA,14.99,4.8,1.0,Imperial / Double IPA,United States,Craft,9.0,69.0,No special notesbeer_updated,Unknown,Snifter/Goblet/Chalice,55.0,130.0,8.0,None
Hardywood Gingerbread Stout,6.0,4.6,1.0,Seasonal Beer,United States,"Craft, Seasonal",9.2,55.0,"Cinnamon, Creamy, Honey, Rich, Sweet, Thick",Unknown,Unknown,49.0,130.0,8.0,None
Collective Arts Circling the Sun Apple Cherry Cider,13.49,5.0,2.0,Cider,Canada,"Craft, Independent Craft Brewer",5.8,35.0,"Apple, Cherry, Crisp, Dry",Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,Gluten Reduced
Proclamation Ale Derivative: Mosaic,16.99,3.3,2.0,American Pale Ale,United States,Craft,6.0,35.0,No special notesbeer_updated,Unknown,Pint Glass,50.0,130.0,8.0,None
Commonwealth Big Papi IPA,18.09,3.5,2.0,Imperial / Double IPA,United States,Craft,8.0,35.0,No special notesbeer_updated,Unknown,Snifter/Goblet/Chalice,55.0,130.0,8.0,None
Stone Scorpion Bowl IPA,6.59,4.6,4.0,IPA,United States,Craft,7.5,76.0,No special notesbeer_updated,Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
Virtue Cider Michigan Cherry,10.49,3.5,1.0,Cider,United States,Craft,3.5,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Snifter/Goblet/Chalice, Mason Jar",50.0,130.0,8.0,Gluten Reduced
"Bevy Long Drink Hard Sparkling Variety Pack Refresher, Cocktail Inspired",19.26,3.5,1.0,Hard Seltzer,United States,Variety Pack,5.8,35.0,"Berry, Citrus, Crisp, Smooth, Sweet",Unknown,Snifter/Goblet/Chalice,45.0,130.0,8.0,None
Southern Tier Vanilla Whipp,15.38,4.5,1.0,IPA,United States,Craft,6.5,15.0,No special notesbeer_updated,Unknown,Snifter/Goblet/Chalice,50.0,130.0,8.0,None
Austin Beerworks Megaflora,13.49,3.6,2.0,IPA,United States,Craft,7.9,10.0,No special notesbeer_updated,Unknown,Snifter/Goblet/Chalice,50.0,130.0,8.0,None
Mighty Swell Blackberry Spiked Seltzer,10.52,4.6,1.0,Hard Seltzer,United States,Craft,5.0,35.0,No special notesbeer_updated,Unknown,Snifter/Goblet/Chalice,45.0,100.0,3.0,"Gluten-Free, Kosher"
Shiner Straight Shooter Hard Seltzer,17.34,4.4,2.0,Hard Seltzer,United States,"Craft, Independent Craft Brewer, Variety Pack",4.5,35.0,No special notesbeer_updated,Unknown,Snifter/Goblet/Chalice,45.0,100.0,3.0,None
Goose Island Beer Company Christmas IPA,10.99,4.6,1.0,IPA,United States,Craft,7.5,38.0,No special notesbeer_updated,Unknown,Snifter/Goblet/Chalice,50.0,130.0,8.0,None
Ficks Real Fruit Hard Seltzer Variety Pack,19.99,5.0,1.0,Hard Seltzer,United States,Variety Pack,5.0,35.0,"Berry, Bold, Bright, Citrus, Crisp, Dark Fruit, Flavored, Floral, Fresh, Fruity, Grapefruit, Light, Rich, Smooth, Sweet, Tart, Tropical Fruit","Beef, Cheese - Creamy & Bloomy, Cheese - Hard Aged, Chicken, Cured Meats, Dessert - Fruit, Duck & Game Bird, Fish - White, Fruit - Citrus, Nuts, Pasta, Root Vegetables, Salads & Greens, Shellfish, Turkey",Snifter/Goblet/Chalice,45.0,100.0,1.0,Gluten-Free
Boulevard x Athletic Brewing Collaboration - Flying Start Non-Alcoholic IPA,10.99,3.0,1.0,IPA,United States,Non-Alcoholic,0.5,49.0,No special notesbeer_updated,Unknown,Snifter/Goblet/Chalice,50.0,130.0,8.0,None
Colima Colimita Lager,10.99,5.0,1.0,Lager,Mexico,Craft,4.2,25.0,No special notesbeer_updated,Unknown,Unknown,49.0,130.0,8.0,None
Flying Dog Family Drama Imperial Pilsner,13.19,4.5,1.0,Imperial Pilsner,United States,Craft,8.4,35.0,No special notesbeer_updated,Unknown,Pilsner Glass,45.0,130.0,8.0,None
Twisted Tea Seasonal,10.22,3.0,1.0,Hard Iced Tea,United States,Seasonal,406768.0,35.0,No special notesbeer_updated,Unknown,Pint Glass,45.0,130.0,8.0,None
Harpoon Winter Warmer,14.84,3.7,3.0,Specialty Beer & Alternatives,United States,"Craft, Seasonal",5.9,23.0,No special notesbeer_updated,Unknown,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",49.0,130.0,8.0,None
Not Your Father's Mountain Ale,10.99,5.0,2.0,Hard Soda,United States,Craft,5.0,35.0,No special notesbeer_updated,Unknown,Pint Glass,55.0,130.0,8.0,None
Odell Witkist White Grapefruit Ale,10.99,4.8,1.0,Witbier,United States,"Craft, Independent Craft Brewer",5.0,8.0,"Balanced, Grapefruit, Light, Spicy, Yeasty",Unknown,Snifter/Goblet/Chalice,50.0,130.0,8.0,None
Avery Barrel Aged Vanilla Bean Stout,13.99,4.4,2.0,Stout,United States,"Independent Craft Brewer, Craft",10.5,50.0,No special notesbeer_updated,Unknown,Snifter/Goblet/Chalice,50.0,130.0,8.0,None
Long Trail Survival Pack,17.97,4.8,1.0,Variety Pack Beer,United States,"Craft, Variety Pack",12.0,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",49.0,130.0,8.0,None
Yuengling Premium Light Beer,6.89,4.9,4.0,Light Lager,United States,Craft,4.2,35.0,No special notesbeer_updated,Unknown,Pint Glass,40.0,98.0,7.0,None
Kona Fire Rock Pale Ale,9.99,5.0,1.0,Pale Ale,United States,Craft,4.4,35.0,"Citrus, Floral, Bitter, Hoppy","Fruit - Citrus, Chicken",Pint Glass,50.0,130.0,8.0,None
Old Milwaukee,4.99,4.6,5.0,American-Style Lager,United States,Craft,4.6,35.0,"Light, Dry","Nuts, Cured Meats",Pint Glass,40.0,130.0,8.0,None
Green River Local Libation- Ginger,12.99,5.0,1.0,Hard Soda,United States,Craft,8.5,35.0,No special notesbeer_updated,Unknown,Pint Glass,55.0,130.0,8.0,None
Boulder Beer Sko Buffalo Gold,10.49,4.7,1.0,Golden / Blonde Ale,United States,Independent Craft Brewer,4.8,35.0,No special notesbeer_updated,Unknown,Pint Glass,50.0,130.0,8.0,None
Duvel Gift Box Set with Glass,16.99,5.0,2.0,Golden / Blonde Ale,Belgium,Craft,8.5,33.0,No special notesbeer_updated,Unknown,Pint Glass,50.0,130.0,8.0,None
Butternuts Porkslap Pale Ale,24.9,5.0,1.0,American Pale Ale,United States,Craft,4.3,35.0,"Malty, Spicy, Grainy, Toasty","Chicken, Nuts",Pint Glass,50.0,130.0,8.0,None
Square Mile Original Apple Cider,9.99,5.0,1.0,Cider,United States,Craft,47.0,35.0,"Apple, Tart, Sweet","Pork, Nuts","Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,Gluten Reduced
Glutenberg Variety Pack,49.99,4.8,3.0,Variety Pack Beer,Canada,"Craft, Variety Pack",406768.0,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",49.0,130.0,8.0,Gluten Reduced
Woodchuck Private Reserve Pumpkin,10.99,3.7,3.0,Cider,United States,Seasonal,6.9,35.0,"Apple, Balanced, Pumpkin, Vanilla",Unknown,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",50.0,130.0,8.0,Gluten-Free
Victory Kirsch Gose,9.99,4.0,1.0,IPA,United States,Craft,9.0,20.0,"Tart, Cherry, Dry, Salty","Chicken, Cheese - Fresh & Soft","Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
Upslope Pumpkin Ale,12.04,4.4,3.0,Seasonal Beer,United States,"Craft, Seasonal",7.7,25.0,No special notesbeer_updated,Unknown,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",49.0,130.0,8.0,None
Brooklyn Lager 1/6 Barrel,130.5,5.0,1.0,Amber / Vienna Lager,United States,Craft,5.2,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Pilsner Glass",50.0,130.0,8.0,None
Smirnoff Seltzer Cranberry Lime,9.99,4.8,1.0,Hard Seltzer,United States,Craft,4.5,35.0,No special notesbeer_updated,Unknown,Pint Glass,45.0,90.0,1.0,None
Kalik Gold,10.99,5.0,1.0,Malt Liquor,Bahamas,Craft,7.0,35.0,No special notesbeer_updated,Unknown,Pint Glass,40.0,130.0,8.0,None
Carling Black Label,11.99,5.0,2.0,Pale Lager,Canada,Craft,4.7,35.0,No special notesbeer_updated,Unknown,Pint Glass,45.0,130.0,8.0,None
Michelob ULTRA Amber,14.99,4.5,6.0,Amber / Vienna Lager,United States,Craft,4.3,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Pilsner Glass",50.0,130.0,8.0,None
Samichlaus Classic,21.99,5.0,1.0,Doppelbock,Austria,Craft,14.0,20.0,No special notesbeer_updated,Unknown,"Pint Glass, Stein/Pub Mug",55.0,130.0,8.0,None
Unibroue A Tout Le Monde,10.99,4.8,1.0,Saison / Farmhouse Ale,Canada,Craft,4.5,22.0,No special notesbeer_updated,Unknown,Snifter/Goblet/Chalice,55.0,130.0,8.0,None
Fruli Strawberry Beer,13.99,5.0,2.0,Fruit Beer,Belgium,Craft,4.1,8.0,No special notesbeer_updated,Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
Evil Twin Modern IPA,69.99,5.0,1.0,IPA,United States,Craft,5.5,65.0,"Hoppy, Fruity, Grapefruit, Citrus","Salads & Greens, Chicken","Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
Texas Ale Project 100 Million Angels Singing Double IPA,12.31,4.7,1.0,Imperial / Double IPA,United States,Craft,9.2,35.0,No special notesbeer_updated,Unknown,Snifter/Goblet/Chalice,55.0,130.0,8.0,None
Cigar City Brewing Jai Alai Aged On White Oak,10.99,3.7,2.0,IPA,United States,Craft,7.5,70.0,"Oak, Vanilla, Hoppy, Bitter","Dessert - Fruit, Mushrooms","Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
Two Roads Espressway Coffee Stout,12.99,3.8,1.0,Stout,United States,"Craft, Independent Craft Brewer",6.5,33.0,"Coffee, Roasted, Smooth","Cheese - Creamy & Bloomy, Cheese - Hard Aged, Cheese - Nutty & Semi-Firm, Cheese - Stinky, Chicken, Cured Meats, Dessert - Chocolate & Coffee, Dessert - Fruit, Dessert - Vanilla & Caramel, Duck & Game Bird, Nuts, Pork","Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
Far From The Tree Patch,14.99,5.0,1.0,Cider,United States,Craft,8.0,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,Gluten Reduced
Jack's Abby Red Tape Amber Lager,10.99,4.7,1.0,Amber / Vienna Lager,United States,Craft,5.0,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Pilsner Glass",50.0,130.0,8.0,None
Good River Class V IPA,10.99,5.0,1.0,IPA,United States,Craft,8.5,65.0,No special notesbeer_updated,Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
Incline Lemongrass Cider,13.99,4.5,1.0,Cider,United States,Craft,6.5,35.0,"Apple, Citrus, Spicy",Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,135.0,12.0,Gluten Reduced
Winter Hill Russian Ending,15.34,5.0,1.0,Imperial Stout,United States,Craft,9.2,35.0,No special notesbeer_updated,Unknown,Snifter/Goblet/Chalice,50.0,130.0,8.0,None
Corona Refresca Hard Tropical Punch Passionfruit Canned Cocktail,10.99,4.4,486.0,Malt Liquor,Mexico,Craft,4.5,35.0,No special notesbeer_updated,Unknown,Pint Glass,40.0,184.0,22.8,None
Shiner Texas Cold Front,10.25,4.0,1.0,Variety Pack Beer,United States,"Craft, Independent Craft Brewer, Seasonal, Variety Pack",6.0,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",49.0,130.0,8.0,None
Stowe Cider Tuned Up,13.99,3.0,1.0,Cider,United States,Craft,5.5,35.0,Apple,Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,Gluten Reduced
Latitude 33 Honey Hips Blonde,13.76,3.0,1.0,Honey Beer,United States,Craft,8.3,18.0,No special notesbeer_updated,Unknown,Snifter/Goblet/Chalice,49.0,130.0,8.0,None
Finch Beer Co Tacocat Kettle Sour Ale,11.39,4.6,1.0,Sour / Wild Ale,United States,Craft,5.0,10.0,No special notesbeer_updated,Unknown,"Snifter/Goblet/Chalice, Stange",50.0,130.0,8.0,None
Melvin Cloudy 5000,16.99,4.5,2.0,Imperial / Double IPA,United States,Craft,8.0,60.0,No special notesbeer_updated,Unknown,"Pint Glass, Snifter/Goblet/Chalice",55.0,130.0,8.0,None
Market Garden Nano Lager,10.21,5.0,1.0,Light Lager,United States,Craft,4.3,35.0,No special notesbeer_updated,Unknown,Pilsner Glass,40.0,130.0,8.0,None
Kozel Černý,6.99,5.0,1.0,Dunkel,Czech Republic,Craft,3.8,35.0,No special notesbeer_updated,Unknown,Pint Glass,50.0,130.0,8.0,None
Wild Basin Black Raspberry Boozy Sparkling Water,10.09,4.6,1.0,Hard Seltzer,United States,Craft,5.0,35.0,No special notesbeer_updated,Unknown,Snifter/Goblet/Chalice,45.0,100.0,1.0,None
Southern Tier Pumking Nitro,16.79,4.8,1.0,Spice / Herb / Vegetable Beer,United States,Craft,8.6,33.0,No special notesbeer_updated,Unknown,Unknown,50.0,130.0,8.0,None
Mill House Brewing Company Köld One German Style Kolsch Ale,10.99,3.0,1.0,Kölsch,United States,Craft,4.6,35.0,No special notesbeer_updated,Unknown,Stange,45.0,130.0,8.0,None
Braven Crowded Places IPA,19.99,4.0,2.0,New England / Hazy IPA,United States,Craft,6.7,12.0,No special notesbeer_updated,Unknown,Snifter/Goblet/Chalice,50.0,130.0,8.0,None
Full Circle Juicy NE IPA,17.98,3.3,1.0,New England / Hazy IPA,United States,Craft,6.6,55.0,No special notesbeer_updated,Unknown,Snifter/Goblet/Chalice,50.0,220.0,8.0,None
SONIC™ Hard Southern Sweet Tea,19.64,5.0,1.0,Hard Iced Tea,United States,Craft,5.0,35.0,Sweet,Unknown,Unknown,49.0,130.0,8.0,None
"Honest Abe ""Mexican Lollipop"" Watermelon Habanero Cider",16.99,5.0,1.0,Cider,United States,Craft,7.0,35.0,No special notesbeer_updated,Unknown,Unknown,49.0,130.0,8.0,None
Night Shift Tea Party: Mango & Lemon Peel,12.79,3.0,1.0,Hard Iced Tea,United States,Craft,4.0,35.0,No special notesbeer_updated,Unknown,Unknown,49.0,130.0,8.0,Gluten-Free
Sixpoint Jammer Session Pack,21.49,5.0,1.0,Variety Pack Beer,United States,Craft,4.0,35.0,No special notesbeer_updated,Unknown,Unknown,49.0,130.0,8.0,None
"Founders Underground Mountain Brown, Bourbon Barrel-Aged Brown Ale",16.31,5.0,3.0,Brown Ale,United States,Craft,11.9,30.0,No special notesbeer_updated,Unknown,"Pint Glass, Stein/Pub Mug",50.0,130.0,8.0,None
Platform Haze Jude,20.89,4.4,1.0,New England / Hazy IPA,United States,Craft,25.0,35.0,No special notesbeer_updated,Unknown,Snifter/Goblet/Chalice,50.0,130.0,8.0,None
Maha Organic Hard Seltzer Variety Pack,19.99,4.3,7.0,Variety Pack Beer,United States,Variety Pack,8.0,35.0,No special notesbeer_updated,Unknown,Unknown,49.0,130.0,8.0,Organic
Tampa Bay Brewing Florida Tart,11.99,5.0,1.0,Berliner Weisse,United States,Craft,4.2,10.0,No special notesbeer_updated,Unknown,Snifter/Goblet/Chalice,50.0,130.0,8.0,None
Hollywood Brewing Co. Roadhead Session IPA,10.99,5.0,1.0,IPA,United States,Craft,6.3,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
Bad Weather The Hopcromancer IPA,10.99,5.0,1.0,IPA,United States,Craft,7.0,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
Night Shift Night Fever Chocolate Stout,15.99,5.0,1.0,Oatmeal Stout,United States,"Craft, Independent Craft Brewer",8.0,35.0,"Caramel, Chocolate, Coffee, Rich, Roasted",Unknown,Pint Glass,50.0,130.0,8.0,None
Night Shift Gold & Delicious Original Hard Cider,12.99,4.6,1.0,Cider,United States,"Craft, Independent Craft Brewer",5.0,35.0,"Apple, Bright, Crisp, Dry, Fruity","Cheese - Fresh & Soft, Salads & Greens",Unknown,49.0,130.0,8.0,Gluten Reduced
56 Brewing ‘ssippi Squeeze,10.99,4.2,1.0,New England / Hazy IPA,United States,Craft,6.0,25.0,No special notesbeer_updated,Unknown,Snifter/Goblet/Chalice,50.0,130.0,8.0,None
Indeed Shenanigans Honey Wheat Ale,10.39,5.0,1.0,Wheat Ale,United States,"Craft, Seasonal",5.0,35.0,No special notesbeer_updated,Unknown,Pint Glass,50.0,130.0,8.0,None
Indeed Lucy Session Sour Ale,10.74,5.0,2.0,Sour / Wild Ale,United States,Craft,4.2,27.0,"Citrus, Tart, Tropical",Unknown,"Snifter/Goblet/Chalice, Stange",50.0,130.0,8.0,None
Budweiser Black Crown,2.48,3.7,1.0,Amber / Vienna Lager,United States,Craft,6.0,15.0,No special notesbeer_updated,Unknown,"Pint Glass, Pilsner Glass",50.0,130.0,8.0,None
Saint Archer IPA,11.99,4.2,1.0,IPA,United States,Craft,7.0,66.0,"Balanced, Bitter, Bready, Hoppy","Nuts, Cured Meats","Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
Two Hats Pineapple,6.39,4.0,2.0,Light Lager,United States,Craft,4.2,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
Henry Weinhards Private Reserve Lager,8.63,5.0,1.0,American-Style Lager,United States,Craft,4.7,35.0,No special notesbeer_updated,Unknown,Pint Glass,40.0,130.0,8.0,None
Henry's Hard Sparkling Water Variety Pack Spiked Seltzer,16.99,5.0,1.0,Variety Pack Beer,United States,Variety Pack,4.2,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",49.0,130.0,8.0,None
Great Divide Hercules Double IPA,14.39,4.9,1.0,Imperial / Double IPA,United States,Craft,10.0,85.0,"Strong, Caramel, Malty, Bitter","Cured Meats, Root Vegetables",Snifter/Goblet/Chalice,55.0,130.0,8.0,None
Pabst Blue Ribbon Easy,6.99,5.0,2.0,Light Lager,United States,Craft,3.8,35.0,No special notesbeer_updated,Unknown,Pint Glass,40.0,110.0,8.3,None
Angry Orchard Orchard's Edge Knotty Pear,10.99,4.3,4.0,Cider,United States,Craft,6.5,35.0,"Apple, Bright, Dry, Pear","Cheese - Fresh & Soft, Pork","Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,Gluten Reduced
Angry Orchard Cider House Collection - Strawman,14.99,4.0,1.0,Cider,United States,Craft,10.0,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,Gluten Reduced
Two Roads Rocket 2 Ruin Imperial Cold IPA1,13.0,3.0,1.0,Wheat Ale,Unknown,"Craft, Seasonal",5.5,35.0,"Apricot, Bright, Dry, Flavored, Fresh, Fruity, Light, Peach",Unknown,Pint Glass,50.0,130.0,8.0,None
Crispin Browns Lane,9.99,4.5,5.0,Cider,United States,Craft,5.8,35.0,"Apple, Acidic, Sweet","Pork, Cheese - Nutty & Semi-Firm","Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,Gluten Reduced
Crispin Honey Crisp Hard Cider,6.49,5.0,1.0,Cider,United States,Craft,6.5,35.0,"Apple, Honey, Crisp","Pork, Nuts","Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,Gluten Reduced
"TRULY Hard Seltzer Pomegranate, Spiked & Sparkling Water",10.25,4.3,2.0,Hard Seltzer,United States,Craft,5.0,35.0,"Dry, Flavored, Fruity","Nuts, Chicken",Pint Glass,45.0,100.0,2.0,"Gluten Reduced, Gluten-Free, Kosher"
Crispin Pacific Pear Hard Cider,7.99,4.3,3.0,Cider,United States,Craft,4.5,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,Gluten Reduced
"Coors Hard Seltzer Variety Pack, Gluten Free",17.99,4.5,9.0,Hard Seltzer,United States,Variety Pack,5.0,35.0,"Acidic, Berry, Citrus, Grapefruit, Light, Tropical Fruit",Unknown,Snifter/Goblet/Chalice,45.0,90.0,8.0,Gluten-Free
Bell's Hopsolution Double IPA,12.99,5.0,1.0,Imperial / Double IPA,United States,"Craft, Independent Craft Brewer",8.0,60.0,"Citrus, Pine, Tropical",Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
Almaza,11.99,4.5,1.0,Pilsner,Lebanon,Craft,4.2,20.0,No special notesbeer_updated,Unknown,Pilsner Glass,45.0,130.0,8.0,None
Vandermill Blue Gold,11.14,3.7,2.0,Cider,United States,Craft,6.9,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,Gluten Reduced
Stiegl Pilsner,2.99,3.0,1.0,Pilsner,Austria,Craft,4.9,35.0,No special notesbeer_updated,Unknown,Pilsner Glass,45.0,130.0,8.0,None
Bantam Rojo,11.99,5.0,1.0,Cider,United States,Craft,5.4,35.0,"Apple, Cherry, Tart, Sweet","Turkey, Pork","Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,Gluten Reduced
Bantam Wunderkind,7.99,4.8,3.0,Cider,United States,Craft,6.0,35.0,"Apple, Dry, Fruity","Pork, Cheese - Creamy & Bloomy","Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,Gluten Reduced
Bard's Sorghum Beer,10.49,5.0,1.0,American Pale Ale,United States,Craft,4.6,35.0,No special notesbeer_updated,Unknown,Pint Glass,50.0,130.0,8.0,None
Tusker Lager,55.0,5.0,1.0,American-Style Lager,Kenya,Craft,4.2,15.0,No special notesbeer_updated,Unknown,Pint Glass,40.0,130.0,8.0,None
Golden Road Brewing 329 Days of Sun Lager,10.99,4.7,2.0,American-Style Lager,United States,Craft,15.0,25.0,"Crisp, Grainy, Grassy, Smooth","Nuts, Fruit - Sweet",Pint Glass,40.0,130.0,8.0,None
Saugatuck Brewing Co. Neapolitan Milk Stout,10.49,4.6,1.0,Milk Stout,France,Craft,6.0,37.0,No special notesbeer_updated,Unknown,Pint Glass,50.0,130.0,8.0,None
Mystic Table Beer,8.54,3.0,1.0,Saison / Farmhouse Ale,United States,Craft,4.3,35.0,"Grainy, Dry, Bright, Balanced","Cheese - Stinky, Shellfish",Snifter/Goblet/Chalice,55.0,130.0,8.0,None
Root Sellers Pedal Hard Ginger Beer,9.34,5.0,1.0,Hard Soda,United States,Craft,5.0,35.0,No special notesbeer_updated,Unknown,Pint Glass,55.0,130.0,8.0,None
Bad Weather Minnesota Windvane Red Ale,8.99,5.0,1.0,Amber / Red Ale,United States,Craft,6.0,35.0,No special notesbeer_updated,Unknown,Pint Glass,50.0,130.0,8.0,None
Copper Kettle Helles Lager,10.46,4.0,1.0,Helles Lager,United States,Craft,4.8,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Stein/Pub Mug",45.0,130.0,8.0,None
Saint Arnold Santo,8.19,4.0,1.0,Kölsch,United States,Craft,4.7,17.0,No special notesbeer_updated,Unknown,Stange,45.0,130.0,8.0,None
Cigar City Brewing Tocobaga Red IPA,10.99,4.0,1.0,Red IPA,United States,Craft,7.2,75.0,No special notesbeer_updated,Unknown,Pint Glass,50.0,130.0,8.0,None
Zilker Coffee Milk Stout,9.96,5.0,1.0,Milk Stout,United States,Craft,5.9,25.0,No special notesbeer_updated,Unknown,Pint Glass,50.0,130.0,8.0,None
Kulshan Seasonal,12.99,5.0,1.0,Seasonal Beer,United States,"Craft, Seasonal",7.4,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",49.0,130.0,8.0,None
Molson Canadian 67,30.99,4.0,2.0,Light Lager,Canada,Craft,3.0,35.0,No special notesbeer_updated,Unknown,Pint Glass,40.0,70.0,2.0,None
